,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,revenue
44,Wings Of A Dove,32,139093,0.54,0.498,0.555,0,4,0.26,-11.577,1,0.0468,184.891,3,0.888,8933
45,Not Gonna Let Go,44,182507,0.464,0.361,0.712,0,7,0.345,-3.965,1,0.0829,84.656,4,0.461,10387
46,Bull Fighter,48,257691,0.517,0.395,0.716,0.00171,2,0.208,-5.908,1,0.0598,79.189,4,0.408,2984
47,no tears left to cry,92,205920,0.04,0.699,0.713,3.11E-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354,6862
48,I Wanna Know,35,137706,0.799,0.611,0.486,0,0,0.125,-12.781,0,0.0576,79.284,4,0.887,28246
49,In the Summer,40,217411,0.351,0.658,0.869,2.65E-06,2,0.26,-5.907,0,0.105,169.973,4,0.91,5569
50,Hell or High Water,55,220468,0.00182,0.338,0.721,2.03E-05,4,0.349,-5.735,0,0.0587,80.774,4,0.381,2516
51,Mala Mujer,53,233280,0.684,0.529,0.699,1.07E-05,9,0.0756,-7.008,0,0.0401,88.87,4,0.887,60360
52,Reload - Vocal Version / Radio Edit,42,221272,0.0766,0.487,0.722,1.18E-06,4,0.061,-4.632,0,0.0522,128.04,4,0.432,39594
53,Noticed,91,165000,0.462,0.699,0.558,0,11,0.116,-7.622,1,0.0603,79.992,4,0.493,9327
54,Sauce God - Instrumental,29,220839,0.00278,0.589,0.516,0.891,4,0.0868,-11.915,0,0.0379,150.006,4,0.0791,77619
55,Recess,62,237680,0.0236,0.658,0.93,0,5,0.578,-2.912,0,0.141,104.018,4,0.132,51618
56,Heartbeat Song,20,198693,0.012,0.5,0.791,0,6,0.0645,-3.711,1,0.0505,149.093,4,0.444,6167
57,Full Recovery,60,176134,0.786,0.524,0.307,0,9,0.111,-9.753,1,0.0465,153.157,4,0.408,9677
58,Body,51,163216,0.0476,0.752,0.764,9.44E-05,1,0.0543,-4.399,1,0.038,121.958,4,0.582,3400
59,Aguzate,48,375600,0.775,0.561,0.644,0.00943,9,0.106,-9.596,0,0.0377,111.05,4,0.956,92579
60,Semi-Charmed Life,76,268360,0.00832,0.64,0.864,0,7,0.123,-6.576,1,0.0315,102.026,4,0.7,88142
61,Could Be Love,67,163761,0.0303,0.775,0.875,0,4,0.312,-4.593,1,0.042,120.989,4,0.501,7680
62,Sin Querer Queriendo (feat. Mau y Ricky),78,228533,0.181,0.7,0.862,0,11,0.1,-4.893,0,0.101,170.108,4,0.618,66590
63,Bigger Than You (feat. Drake & Quavo),82,225893,0.247,0.888,0.515,0,1,0.446,-6.246,1,0.271,141.009,4,0.264,6833
64,Brown Eyed Girl,26,182960,0.29,0.478,0.678,0,7,0.577,-7.032,1,0.0364,151.466,4,0.892,63707
65,New Chain,2,221196,0.158,0.591,0.444,2.89E-06,8,0.114,-7.148,1,0.115,139.79,4,0.355,7611
66,Quiero Que Seas Mía,21,210849,0.175,0.712,0.811,2.67E-06,11,0.126,-4.97,0,0.0267,140.008,4,0.782,5115
67,Whenever (feat. Conor Maynard),89,163636,0.151,0.734,0.765,0,7,0.231,-5.562,1,0.0621,109.989,4,0.518,7731
68,Only You,72,189401,0.0829,0.607,0.74,0,4,0.105,-4.793,0,0.172,108.05,4,0.219,8197
69,Folding Like Honey,45,133348,0.367,0.621,0.458,0.543,0,0.104,-8.862,1,0.0463,144.092,4,0.603,3832
70,Runnin’,60,235489,0.412,0.626,0.414,0.00137,11,0.147,-10.631,0,0.109,179.992,4,0.388,6242
71,Electricity (with Dua Lipa),94,238173,0.0104,0.588,0.67,3.33E-06,0,0.338,-6.439,1,0.0473,118.159,4,0.505,71997
72,Una Palabra,46,150333,0.895,0.557,0.0723,0,6,0.127,-15.012,1,0.108,82.446,4,0.289,26704
73,The Feeling,42,217266,8.02E-05,0.602,0.759,0.000909,8,0.0835,-6.283,1,0.0342,122.031,4,0.714,85866
74,Me and Julio Down by the Schoolyard,71,164813,0.237,0.626,0.816,1.80E-06,9,0.104,-10.593,1,0.13,105.33,4,0.798,9697
75,Ned Flanders (feat. A$AP Ferg),83,161013,0.0254,0.936,0.495,0,1,0.087,-6.062,1,0.229,139.951,4,0.299,82143
76,I Wonder,65,243440,0.13,0.54,0.476,0.000252,0,0.135,-8.658,1,0.111,191.259,4,0.116,6713
77,Waiting For The World To End,49,245040,0.082,0.832,0.585,4.58E-05,10,0.333,-5.931,0,0.376,91.797,4,0.917,3149
78,Miss You All The Time,52,193760,0.165,0.589,0.603,0,2,0.0687,-5.517,1,0.0435,76.874,4,0.456,4966
79,Amen,51,183741,0.338,0.429,0.363,0.000343,0,0.128,-7.539,1,0.0327,75.483,4,0.16,7160
80,1999,81,189000,0.0227,0.739,0.742,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,6157
81,Do Your Thing,49,191280,0.0461,0.734,0.859,0.00597,9,0.267,-4.228,1,0.0585,121.996,4,0.737,3291
82,Together Again,68,301200,0.0788,0.873,0.591,0.0071,7,0.104,-8.942,1,0.102,123.091,4,0.496,2156
83,Born For Greatness,70,227847,0.0571,0.525,0.85,0,9,0.0555,-5.469,0,0.0678,134.115,4,0.275,5507
84,Songbird,40,206522,0.57,0.651,0.261,0,1,0.301,-10.019,1,0.0266,104.116,4,0.287,15759
85,Imagine - Remastered 2010,77,187866,0.907,0.547,0.257,0.183,0,0.0935,-12.358,1,0.0252,75.752,4,0.169,2611
86,"Hey, Good Lookin' - Single Version",52,175333,0.874,0.789,0.25,0,7,0.125,-12.786,1,0.0413,141.076,4,0.87,2467
87,Fueron Tus Besos,48,258846,0.389,0.644,0.493,0,7,0.154,-7.311,1,0.0258,122.999,4,0.189,3640
88,Debaser,63,173173,0.000427,0.487,0.884,0.402,5,0.0954,-11.995,1,0.0425,135.533,4,0.569,8055
89,Free Fallin',72,256666,0.178,0.617,0.435,0,5,0.0822,-13.547,1,0.0256,84.382,4,0.601,94286
90,Should I Stay or Should I Go - Remastered,79,188986,0.079,0.742,0.833,0,2,0.384,-6.463,1,0.115,113.375,4,0.816,8205
91,Cold Hard Love,5,358253,0.268,0.503,0.64,0.00048,5,0.131,-9.254,0,0.0965,89.964,4,0.154,5898
92,Jerk It Out,62,195666,0.0171,0.58,0.981,1.07E-05,8,0.386,-2.603,0,0.06,134.007,4,0.861,5311
93,Drifting on a Summer's Night,11,174866,0.459,0.513,0.493,0.0942,2,0.112,-8.726,1,0.025,77.818,1,0.53,6495
94,Los Chismes,55,179211,0.566,0.779,0.737,0.000279,8,0.103,-8.036,1,0.0368,121.18,4,0.943,3917
95,Gun To The Head,2,224754,0.0629,0.739,0.921,9.98E-05,7,0.448,-3.882,1,0.0413,137.042,4,0.961,3258
96,Old Shep,24,196293,0.866,0.472,0.152,0,7,0.122,-13.995,1,0.0303,109.799,3,0.4,8142
97,10:15 Saturday Night,37,223773,0.00366,0.656,0.279,0.0282,0,0.0952,-17.282,1,0.13,174.1,4,0.325,6645
98,Internacionales,61,187932,0.062,0.714,0.959,4.50E-05,1,0.0353,-1.503,0,0.0486,102.037,4,0.65,4207
99,Bad (feat. Vassy) - Radio Edit,66,170625,0.00125,0.614,0.972,0.0186,5,0.328,-3.927,0,0.088,127.966,4,0.411,75759
100,When We Make Love,40,216373,0.649,0.481,0.0758,0,7,0.0859,-23.435,1,0.0433,71.892,4,0.14,9240
101,Los Angeles,55,237573,0.000439,0.509,0.817,5.56E-06,10,0.0947,-5.472,0,0.0502,155.199,4,0.597,88027
102,Dip,82,127200,0.0152,0.877,0.562,0,9,0.0933,-7.096,1,0.26,99.977,4,0.376,34430
103,Beso A Beso... Dulcemente,47,252213,0.578,0.416,0.499,0,1,0.163,-6.736,1,0.03,126.918,4,0.439,4953
104,Bad,72,177973,0.366,0.827,0.613,1.25E-05,8,0.093,-5.34,1,0.0621,137.96,4,0.747,18186
105,Red Lights,16,263890,0.000739,0.653,0.829,1.50E-06,10,0.225,-4.783,1,0.0377,124.989,4,0.545,69379
106,Sea Holidays,49,149654,0.376,0.615,0.451,0.733,11,0.657,-7.17,0,0.124,84.917,4,0.376,6806
107,The Three Bells,27,169573,0.893,0.47,0.159,0,7,0.124,-14.795,1,0.0403,106.488,4,0.418,9199
108,Big Deal,70,159880,0.00988,0.72,0.735,0,0,0.162,-3.188,1,0.055,160.093,4,0.243,7655
109,missed calls pt. 1,40,102791,0.639,0.717,0.211,0.00763,1,0.262,-15.842,1,0.377,86.793,4,0.193,3929
110,Lambo,54,149826,0.00557,0.821,0.872,0.107,1,0.0466,-6.08,1,0.0737,124.998,4,0.429,6423
111,I Want You - Radio Edit,44,198867,0.000705,0.262,0.881,0.000938,2,0.724,-4.802,1,0.132,127.947,4,0.468,6608
112,Spoonman - Steve Aoki Remix,39,164347,0.00735,0.473,0.845,0.000334,2,0.0532,-3.944,1,0.0564,91.998,4,0.0346,8360
113,The Final Countdown,24,75360,0.373,0.539,0.685,0,0,0.0809,-5.157,0,0.0461,123.955,4,0.538,7807
114,Girls & Boys,33,213933,1.28E-05,0.397,0.972,0.14,10,0.135,-3.307,0,0.0662,151.448,4,0.421,7164
115,Díganle - Tainy Remix,75,211437,0.102,0.84,0.789,0,1,0.309,-4.695,0,0.0949,92.018,4,0.619,6358
116,Be Alright,96,196373,0.697,0.553,0.586,0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443,34752
117,Midnight Shifter,26,216813,0.00283,0.51,0.958,1.72E-06,7,0.0848,-2.119,1,0.0907,151.647,4,0.677,9546
118,Meant to Be (feat. Florida Georgia Line),88,163870,0.047,0.643,0.783,0,10,0.083,-6.458,1,0.0856,154.084,4,0.579,80705
119,Wait For Me,49,219693,0.0133,0.391,0.889,2.87E-06,3,0.113,-4.179,0,0.052,146.197,4,0.209,4843
120,Let's Get Ill,69,256874,0.009,0.704,0.989,0.0443,8,0.0814,-5.079,1,0.073,127.992,4,0.123,5257
121,Perfume de Gardênia,30,179986,0.539,0.582,0.367,9.98E-06,2,0.356,-12.249,0,0.0281,103.363,4,0.636,2045
122,IDGAF,89,217946,0.0403,0.836,0.544,0,7,0.0824,-5.975,1,0.0943,97.028,4,0.51,7206
123,The Whale/ Nahang - Live,16,134440,0.984,0.646,0.136,0,5,0.135,-13.003,1,0.08,97.092,3,0.735,9008
124,Wake Up in the Sky,92,204664,0.00381,0.8,0.578,0,4,0.359,-5.144,0,0.0485,143.01,4,0.367,3823
125,Fire Alarm,8,237106,0.000148,0.499,0.938,0.0204,6,0.302,-3.806,0,0.0606,145.047,4,0.479,17420
126,Anything You Want (Not That),4,200434,0.0489,0.955,0.735,0.844,9,0.118,-9.037,0,0.0447,122.311,4,0.961,39589
127,High (feat. Elton John),81,195160,0.223,0.759,0.498,5.84E-05,10,0.406,-10.615,1,0.0776,126.972,4,0.244,7272
128,Bridge Over Troubled Water,69,293120,0.822,0.149,0.206,0.000649,3,0.115,-13.888,1,0.0323,79.764,4,0.264,65155
129,Soun tha mi primer amor,5,190933,0.0609,0.837,0.829,0.246,10,0.0709,-7.243,0,0.125,104.338,4,0.722,5890
130,Waiting On the World to Change,76,201173,0.159,0.577,0.756,0.000232,2,0.249,-5.82,1,0.115,176.75,4,0.663,2517
131,Me Enamoro de Ella,0,259057,0.638,0.62,0.892,0,7,0.114,-6.932,1,0.0379,137.707,4,0.961,9765
132,Fire Alarm,8,237106,0.000148,0.499,0.938,0.0204,6,0.302,-3.806,0,0.0606,145.047,4,0.479,5966
133,Waves - JordanXL Remix,59,194415,0.0991,0.703,0.721,4.33E-06,11,0.0795,-6.654,0,0.0337,109.987,4,0.374,7670
134,Recognize (feat. T.I. & Big K.R.I.T.),49,182800,0.0357,0.743,0.784,2.69E-05,7,0.117,-3.517,1,0.116,82.498,4,0.35,7066
135,I Write Sins Not Tragedies,77,187613,0.0938,0.567,0.795,0,9,0.114,-4.985,0,0.134,170.06,4,0.635,7228
136,Happier,100,214289,0.191,0.687,0.792,0,5,0.167,-2.749,1,0.0452,100.015,4,0.671,76322
137,Queen of Hearts,25,208333,0.233,0.662,0.91,3.22E-05,2,0.127,-7.899,1,0.05,169.371,4,0.973,7809
138,Anyway,50,169218,0.0711,0.754,0.846,6.11E-06,5,0.132,-4.901,0,0.0716,103.963,4,0.649,6258
139,Arctic Tern,63,144500,0.994,0.134,0.00458,0.923,8,0.092,-33.929,0,0.0464,175.166,4,0.0863,4767
140,Georgia,70,230506,0.312,0.388,0.66,0.000307,11,0.0943,-7.372,1,0.0308,143.554,4,0.401,18891
141,Polaroid,81,193377,0.293,0.652,0.897,0,7,0.0722,-4.481,0,0.036,114.033,4,0.475,4807
142,Thank the Lord,42,201943,0.0508,0.68,0.753,1.30E-05,11,0.165,-8.32,1,0.381,145.142,4,0.736,9812
143,Dale Don Dale,42,212413,0.0269,0.832,0.815,0.00028,6,0.0892,-7.81,0,0.0971,95.031,4,0.809,87814
144,What Would Meek Do?,67,153266,0.0064,0.678,0.636,8.38E-06,1,0.177,-3.155,1,0.0782,83.071,4,0.0636,9196
145,Lean Wit Me,89,175755,0.0414,0.665,0.651,0,1,0.0896,-5.515,1,0.156,163.935,4,0.237,91904
146,Linda Guajira,38,185786,0.587,0.765,0.578,0.689,7,0.027,-14.18,1,0.0402,132.871,4,0.97,2168
147,Hell,56,247293,0.283,0.613,0.512,1.42E-05,6,0.123,-8.341,1,0.0383,146.013,4,0.177,4303
148,Smile (Living My Best Life) (feat. Snoop Dogg & Ball Greezy),76,214159,0.09,0.874,0.727,5.83E-06,8,0.0759,-7.689,1,0.0777,98.97,4,0.427,2686
149,The Gold - Nick Waterhouse Remix,16,249773,0.323,0.685,0.541,0.0158,9,0.151,-9.882,1,0.0457,120.04,4,0.487,9762
150,Taste (feat. Offset),95,232959,0.0236,0.884,0.559,0,0,0.101,-7.442,1,0.12,97.994,4,0.342,87665
151,Two Princes,74,256733,0.00162,0.543,0.912,2.10E-06,7,0.0565,-10.71,1,0.0601,103.731,4,0.836,4803
152,Exhausted (feat. TK Kravitz),51,158145,0.0453,0.719,0.837,0,10,0.109,-5.152,0,0.171,85.012,4,0.604,83636
153,Ready or Not,65,226986,0.21,0.601,0.422,0,10,0.0839,-13.364,0,0.518,132.456,3,0.563,3910
154,Hard To Handle,62,141000,0.573,0.666,0.55,1.84E-06,10,0.122,-8.672,1,0.0612,95.552,4,0.961,5597
155,Millidelphia (feat. Swizz Beatz),76,215838,0.0854,0.851,0.702,0,1,0.374,-4.172,1,0.268,126.94,4,0.179,11748
156,Barracuda,72,261933,0.015,0.547,0.691,0.105,4,0.144,-13.553,0,0.0369,137.148,4,0.667,6361
157,Gimme Some Lovin' - Single Mix,22,173973,0.0126,0.493,0.688,0.256,7,0.38,-8.143,1,0.0321,147.403,4,0.533,3716
158,Just Fine!,62,186465,0.0011,0.71,0.875,0.358,1,0.205,-10.135,0,0.0376,116.018,4,0.357,2957
159,KANA,62,207378,0.345,0.853,0.822,0.000114,10,0.13,-5.917,0,0.212,102.82,4,0.62,2116
160,Fire Alarm,8,237106,0.000148,0.499,0.938,0.0204,6,0.302,-3.806,0,0.0606,145.047,4,0.479,5101
161,Fucking Shit Up,54,168986,0.0132,0.626,0.704,9.17E-06,1,0.0719,-5.718,1,0.313,140.005,4,0.194,3644
162,Heathen Heart,38,222484,0.00013,0.338,0.99,0.761,1,0.0977,-3.618,1,0.162,185.428,4,0.277,9588
163,The Night We Met,79,208226,0.968,0.441,0.379,0.262,2,0.639,-9.545,1,0.0449,174.118,3,0.105,57733
164,Look At Me Now,71,223933,0.0439,0.764,0.694,3.67E-06,11,0.18,-5.745,0,0.189,146.075,4,0.581,3402
165,Bulls On Parade,72,229466,0.0124,0.412,0.919,0.0601,5,0.424,-7.291,1,0.184,166.367,4,0.572,3173
166,Over Getting Over You,50,221250,0.286,0.615,0.746,0,9,0.096,-5.255,1,0.0639,127.995,4,0.355,28593
167,Still of the Night - 2017 Remastered Version,60,399693,0.00582,0.403,0.88,0.000508,0,0.319,-5.872,1,0.0532,100.457,4,0.235,4668
168,Lovely Day,66,255066,0.194,0.693,0.565,0.000175,9,0.0806,-12.583,1,0.0345,97.937,4,0.692,5203
169,Fuck a Bomb,58,196056,0.0619,0.653,0.744,0,7,0.295,-4.816,0,0.0958,80.052,4,0.753,49581
170,A Change Is Gonna Come,65,191160,0.76,0.212,0.42,0,10,0.307,-9.919,1,0.0344,169.555,3,0.493,2660
171,Darcy,56,206914,0.000418,0.854,0.575,0.000113,0,0.159,-9.901,0,0.0936,132.004,4,0.496,5186
172,El House,44,293901,0.00023,0.75,0.772,0.919,4,0.0708,-8.261,0,0.0527,120.003,4,0.335,7816
173,Total,44,174213,0.708,0.525,0.277,0,0,0.125,-12.129,0,0.0383,108.949,4,0.559,6146
174,Together,75,164576,0.893,0.615,0.444,8.06E-06,8,0.127,-6.773,0,0.0282,120.098,4,0.125,98831
175,Little Talks,68,266600,0.0215,0.46,0.786,0,1,0.133,-5.238,1,0.038,103.192,4,0.408,7072
176,Click Click Boom,65,252933,0.00324,0.609,0.937,0.000294,6,0.129,-2.912,1,0.0495,95.961,4,0.493,30928
177,Dedication (feat. Kendrick Lamar),37,245813,0.431,0.512,0.734,0,8,0.226,-5.448,0,0.438,93.995,4,0.168,6646
178,C.R.E.A.M.,75,252186,0.57,0.479,0.549,0.0239,11,0.127,-10.551,0,0.373,180.985,4,0.576,8422
179,Teenage Hurt,49,270500,0.983,0.354,0.0499,0.663,2,0.108,-22.736,0,0.0391,140.012,3,0.0445,93093
180,Plastic Hamburgers,48,217451,0.0255,0.634,0.779,0.00103,9,0.342,-6.607,1,0.0361,82.003,4,0.562,43956
181,Change the World,70,177406,0.0581,0.843,0.598,1.71E-05,6,0.0726,-6.427,0,0.0505,126.03,4,0.486,95055
182,Migra,41,326706,0.0144,0.602,0.782,0.234,10,0.122,-6.722,1,0.0482,108.096,4,0.826,7618
183,Hasta Que Te Conocí,68,433520,0.739,0.329,0.306,1.01E-06,2,0.0679,-10.25,0,0.0327,170.169,4,0.189,5109
184,Que Suba El Momento,40,287213,0.0179,0.47,0.745,0.0489,0,0.117,-8.234,1,0.0423,145.03,4,0.265,4170
185,Gloria,69,295066,0.135,0.775,0.866,0.0376,9,0.152,-3.598,1,0.0295,131.34,4,0.876,8152
186,Corrido De Juanito,70,261973,0.475,0.777,0.607,0,3,0.0812,-4.347,1,0.039,97.647,3,0.751,9306
187,Zig Zag Wanderer,45,158800,0.058,0.428,0.843,0.0334,9,0.115,-7.655,1,0.0747,143.758,4,0.885,6176
188,Loyal,60,220080,0.224,0.649,0.576,0,1,0.445,-5.936,0,0.0449,107.989,4,0.311,5323
189,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98,212500,0.153,0.841,0.798,3.33E-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591,8990
190,Long Live,48,194817,0.056,0.385,0.839,6.14E-06,8,0.582,-5.546,0,0.0613,163.901,4,0.408,32076
191,Yesterday,64,154124,0.945,0.633,0.185,0.868,0,0.127,-14.68,1,0.0626,77.223,4,0.155,8380
192,Til I Get Found,4,222160,0.0636,0.77,0.722,0,10,0.24,-6.497,0,0.069,104.953,4,0.379,68133
193,Black Holes (Solid Ground),7,183978,0.118,0.545,0.74,0.00012,11,0.192,-7.081,0,0.0343,92.007,4,0.29,12853
194,Avant-Garde,34,161739,0.314,0.707,0.581,0.000232,10,0.208,-8.294,0,0.0669,161.027,4,0.476,48666
195,Rag Mop - Single Version,7,169200,0.417,0.713,0.516,0,0,0.119,-5.417,1,0.0352,94.589,4,0.88,63327
196,Walking The Floor Over You - 1941 Edit,22,159266,0.841,0.877,0.228,8.54E-06,0,0.0654,-13.273,1,0.0617,114.503,4,0.888,2555
197,Glad You Came,70,198186,0.0643,0.755,0.838,1.59E-05,7,0.118,-4.5,0,0.0687,126.877,4,0.473,7057
198,Vine a Decirte Adios,49,279880,0.421,0.849,0.626,0.000243,1,0.0915,-5.007,1,0.0404,132.792,4,0.736,6696
199,Definition,61,206471,0.03,0.667,0.879,0,8,0.157,-4.197,1,0.359,119.746,5,0.71,7909
200,What You Want,69,195920,0.118,0.511,0.852,0,2,0.0901,-3.895,1,0.468,163.863,4,0.316,19412
201,Everlasting Love,60,182666,0.266,0.497,0.569,0,9,0.336,-10.632,1,0.0386,120.531,4,0.811,6496
202,Sin Pijama - Kumbia Remix,61,204288,0.048,0.642,0.785,2.84E-06,11,0.0705,-6,0,0.0378,188.003,4,0.97,2066
203,Family (feat. Dave East),54,195855,0.047,0.702,0.591,0,2,0.0904,-6.886,1,0.26,130.013,4,0.287,8673
204,APESHIT,78,264853,0.0133,0.705,0.784,0,2,0.168,-6.477,1,0.271,160.035,4,0.377,37664
205,Blister in the Sun - 2002 Remastered Version,69,144333,0.219,0.701,0.261,0,0,0.0821,-19.846,1,0.0938,97.042,4,0.89,5754
206,Hey There Delilah,66,233280,0.838,0.502,0.43,1.98E-06,2,0.103,-7.694,1,0.0288,103.804,4,0.348,4663
207,Be Real - Instrumental Beat,31,224780,0.00835,0.683,0.496,0.752,10,0.215,-5.355,0,0.0342,130.999,4,0.303,93049
208,Pasarela,70,227466,0.0909,0.805,0.814,6.47E-06,7,0.188,-6.102,1,0.0642,95.016,4,0.509,23974
209,LA On A Saturday Night,17,195074,0.118,0.592,0.588,0,10,0.138,-4.889,1,0.0405,81.997,4,0.336,7661
210,Strawberry Wine,61,290466,0.302,0.558,0.435,0,1,0.0351,-6.812,1,0.0264,122.385,3,0.199,5799
211,Song To The Siren,42,215733,0.84,0.209,0.0978,4.61E-06,10,0.157,-20.091,1,0.0446,125.076,3,0.0869,4262
212,Worth It,78,224573,0.063,0.884,0.765,7.04E-06,8,0.118,-3.865,1,0.0882,99.987,4,0.594,99389
213,Cough Syrup,71,249520,0.0343,0.534,0.721,6.24E-06,11,0.115,-7.307,0,0.0417,128.978,3,0.225,2944
